title,bag_of_words
Conversations with Other Women (2005),comedy drama romance split screen bittersweet duo vision two hander  
Father Sergius (Otets Sergiy) (1917),drama romance nan  
"Assault, The (Aanslag, De) (1986)",drama romance war nan  
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),comedy mockumentary erect penis parody comedy of manners  
Iraq for Sale: The War Profiteers (2006),documentary war profiteer political superpower political corruption armed forces  
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",drama fantasy thriller fairy hiding maze spain  
"Conqueror, The (1956)",adventure romance war nan  
"Guardian, The (2006)",action adventure drama u.s. coast guard rescue swimmer team  
Open Season (2006),adventure animation children comedy imax buddy movie buddy comedy 3 dimensional final battle  
School for Scoundrels (2006),comedy crime low self esteem mace spray new york city australian  
Sidewalks of London (St. Martin's Lane) (1938),comedy nan  
G.O.R.A. (2004),adventure comedy sci-fi outer space spaceflight spaceship carpet  
"Departed, The (2006)",crime drama thriller police mobster irish mafia organized crime  
"Texas Chainsaw Massacre: The Beginning, The (2006)",horror thriller tied feet tied up while barefoot cleavage scantily clad female  
Employee of the Month (2006),comedy mall shopping mall store cashier  
Stormbreaker (Alex Rider: Operation Stormbreaker) (2006),action children teenage boy spy mission child in danger cricket the sport  
Sirocco (1951),action drama nan  
"Hawaii, Oslo (2004)",drama suicidal singer prison kleptomaniac  
Dante's Inferno (1935),action drama nan  
Antibodies (Antikörper) (2005),crime drama horror thriller serial killer serial murderer child murderer serial child murderer  
Dr. Cyclops (1940),adventure horror sci-fi nan  
Running With Scissors (2006),comedy drama gay couple down syndrome toilet watching television  
Dillinger (1945),crime drama film-noir nan  
Brute Force (1947),drama film-noir thriller nan  
Ellie Parker (2005),comedy drama woman in bathtub young woman acting nipples visible through clothing  
"Grudge 2, The (2006)",drama horror mystery thriller ghost schoolgirl haunted house cat  
Man of the Year (2006),comedy thriller presidential candidate first lady man wears eyeglasses president  
"Marine, The (2006)",action drama thriller beating tied up muscleman tough guy  
Infamous (2006),drama gay interest scaffold reference to a streetcar named desire death of family  
One Night with the King (2006),drama biblical persia esther book of esther  
Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),documentary new york cosmos professional sports soccer team football team  
Fellini's Casanova (Il Casanova di Federico Fellini) (1976),drama romance nan  
"Howards of Virginia, The (1940)",drama war nan  
"Last Bolshevik, The (Tombeau d'Alexandre, Le) (1993)",documentary director reference to sergei eisenstein film director banned  
Chapayev (1934),drama war nan  
"Elementary Particles, The (Elementarteilchen) (2006)",drama romance sexuality absent mother promiscuous mother masturbation  
Kummelin jackpot (2006),comedy friendship friend guardian angel mouse  
Feast (2005),action comedy horror thriller anal sex raped by monster forced oral sex grindhouse film  
Offside (2006),comedy drama stadium iran soccer iranian  
Little Children (2006),drama romance adulterous wife dysfunctional marriage pantyhose sex standing up  
Deliver Us from Evil (2006),documentary rape of a child child title directed by female church  
Marie Antoinette (1938),drama romance nan  
F.I.S.T. (1978),drama nan  
Facing the Giants (2006),action drama underdog football faith christian  
Mr. Conservative: Goldwater on Goldwater (2006),documentary period in title republican party presidential candidate politician  
Broadway Bill (1934),comedy drama nan  
"Last King of Scotland, The (2006)",drama thriller 1970s scottish ugandan assassination  
"U.S. vs. John Lennon, The (2006)",documentary briton abroad subversive the white house man wears eyeglasses  
Shortbus (2006),comedy drama romance ejaculation female frontal nudity masturbation oral sex  
3 Blind Mice (2003),crime mystery romance thriller police officer internet good cop bad cop inline skating  
Children of Men (2006),action adventure drama sci-fi thriller long take england fertility neo noir  
"Prestige, The (2006)",drama mystery sci-fi thriller rivalry illusion obsession magician  
Flags of Our Fathers (2006),drama war reference to arizona pima indian japanese soldier japan  
Flicka (2006),children drama bus falling off a horse horseback riding friendship  
Sleeping Dogs Lie (a.k.a. Stay) (2006),comedy drama romance secret bestiality kiss human arouses animal  
9th Company (2005),action drama war soviet military soviet army russian abroad killed in action  
Jade Warrior (Jadesoturi) (2006),action adventure drama warrior kalevala finland sword  
Spies (Spione) (1928),thriller nan  
"Guide to Recognizing Your Saints, A (2006)",crime drama erect nipples bare chested teenage boy friend coming of age  
Azumi 2: Death or Love (2005),action adventure japan japanese ninja murderess  
13 Tzameti (2005),film-noir thriller looking at oneself in a mirror punching ticket number 13 in title white picket fence  
Saw III (2006),crime horror thriller female full frontal nudity torture female nudity brutality  
Catch a Fire (2006),drama thriller vigilantism identification police officer watching tv  
Death of a President (2006),crime drama mystery thriller prologue terrorist training camp muslim the white house  
Little Secrets (2001),children comedy drama secret violinist violin adopted daughter  
"Man of Straw (Untertan, Der) (1951)",comedy drama nan  
Corto Maltese in Siberia (Corto Maltese - La cour secrète des Arcanes) (2002),adventure animation drama romance war year 1918 1910s corto maltese russian civil war  
5 Fingers (1952),drama thriller nan  
"Charge of the Light Brigade, The (1936)",action adventure romance war nan  
Platform (Zhantai) (2000),drama contemplative cinema  
Lunacy (Sílení) (2006),animation horror social satire sardonic black comedy campy  
Flushed Away (2006),animation comedy taking off shoes someone in socks sock toes  
Perfume: The Story of a Murderer (2006),crime drama thriller 18th century smell scent perfume  
Arabesque (1966),adventure drama romance thriller nan  
"Santa Clause 3: The Escape Clause, The (2006)",comedy fantasy deception instant regret seven word title digit in title  
Daddy Long Legs (1955),musical romance nan  
Hi Tessa (Czesc Tereska) (2001),drama violence brutality theft teenager  
All the Invisible Children (2005),drama anthology child with a gun gun anthology film  
Ocean Waves (Umi ga kikoeru) (1993),animation drama romance friendship studio ghibli two word title love  
Mad Dogs & Englishmen (1971),documentary musical nan  
Four Daughters (1938),drama romance nan  
Arizona (1940),western nan  
"Big City, The (Mahanagar) (1963)",drama nan  
"World, the Flesh and the Devil, The (1959)",drama romance sci-fi nan  
Mom and Dad Save the World (1992),comedy sci-fi close up of eyes sewer sword fight saving the world  
"Boynton Beach Bereavement Club, The (2005)",comedy drama title directed by female bereavement white lie dishonesty  
"Good Year, A (2006)",comedy drama romance chateau provence france inheritance based on novel  
Shut Up & Sing (2006),documentary band right wing singer four word title  
Vital (2004),thriller loneliness dissection tattoo parents  
"Foreign Affair, A (1948)",comedy drama romance nan  
"Return, The (2006)",sci-fi thriller listening to music nonlinear timeline supernatural horror sex scene  
For Your Consideration (2006),comedy fictional academy awards actor purim publicist  
Street Fight (2005),documentary powerful enemy new jersey common good fight for justice  
Fuck (2005),comedy documentary word free speech f word interview  
Shooting Dogs (a.k.a. Beyond the Gates) (2005),documentary drama war africa rwanda genocide faith  
Casino Royale (2006),action adventure thriller cleavage female butt jiggle poker casino  
Happy Feet (2006),adventure animation children comedy imax anthropomorphic penguin singing animal singing penguin warner bros.  
Let's Go to Prison (2006),comedy frame up judge revenge illinois  
Déjà Vu (Deja Vu) (2006),action sci-fi thriller alternate timeline patriotism woman in jeopardy opening scene repeated later in film  
Bobby (2006),drama robert f. kennedy character robert f. kennedy assassination american history helicopter  
Deck the Halls (2006),comedy christmas christmas lights christmas display annoyed neighbor  
10 Items or Less (2006),comedy drama romance watching tv actor research job interview  
"Holiday, The (2006)",comedy romance kiss american in the uk woman jewish character  
I Wake Up Screaming (1941),crime film-noir mystery romance thriller nan  
Luna de Avellaneda (2004),drama romance soccer moon love hope  
Snow Cake (2006),drama garbage funeral sex autistic savant  
Harsh Times (2006),action crime drama opening action scene friend lapd mexican  
London to Brighton (2006),crime drama thriller digging one's grave brassiere brighton england pantyhose  
Fast Food Nation (2006),drama food meat hamburger fast food  
"Bête humaine, La (1938)",drama nan  
Celine and Julie Go Boating (Celine et Julie vont en bateau) (1974),drama fantasy mystery nan  
Min and Bill (1930),comedy drama nan  
"20,000 Years in Sing Sing (1932)",crime drama nan  
The Great Train Robbery (1903),crime western nan  
Simon of the Desert (Simón del desierto) (1965),drama nan  
Tenacious D in The Pick of Destiny (2006),adventure comedy musical lucifer morningstar character bigfoot character written by star guitar  
"Facts of Life, The (1960)",comedy drama romance nan  
It's A Wonderful World (1939),comedy crime romance nan  
"OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions) (2006)",adventure comedy crime friend spy bound and gagged arms tied overhead  
Reeker (2005),horror mystery mysterious killer mystery killer grindhouse film midnight movie  
Sitting Pretty (1948),comedy nan  
"Last Hard Men, The (1976)",western nan  
Moog (2004),documentary musical television commercial rock band new york city concert footage  
"Nativity Story, The (2006)",drama palestine nazareth israel star f rated  
National Lampoon's Van Wilder: The Rise of Taj (2006),comedy mile high club female nudity male nudity public nudity  
Turistas (2006),adventure drama horror mystery thriller female nudity drugged drink breasts female removes her clothes  
Blood Diamond (2006),action adventure crime drama thriller war civil war diamond rebel sierra leone  
Dracula's Daughter (1936),drama horror nan  
Doc Savage: The Man of Bronze (1975),adventure nan  
She (1965),action adventure drama fantasy horror romance sci-fi nan  
Triad Election (Election 2) (Hak se wui yi wo wai kwai) (2006),crime drama thriller hong kong triad crime boss fishing  
Unaccompanied Minors (2006),children comedy title spoken by character warner bros. one day time span young girl  
Off the Black (2006),drama alcoholic vandalism underage drinking umpire  
Charlotte's Web (2006),children comedy drama fantasy interspecies friendship death of title character live action cgi hybrid animal protagonist  
Eragon (2006),action adventure fantasy based on book dragon dragon rider teenage hero  
Rocky Balboa (2006),action drama retired boxer tough guy sweat sequel to best picture winner  
Iron Island (Jazireh Ahani) (2005),drama oil tanker ship persian squatters camp  
Fur: An Imaginary Portrait of Diane Arbus (2006),drama fantasy romance male full frontal nudity photographer diane arbus character name in title  
Girl Shy (1924),action comedy drama romance nan  
"Dam Busters, The (1955)",action drama war nan  
Zombie Honeymoon (2004),drama horror romance zombie love honeymoon beach  
Another Gay Movie (2006),comedy male objectification male frontal nudity male rear nudity 2000s  
Oyster Farmer (2004),drama male nudity nudity sexy woman oyster farm  
Waterloo Bridge (1931),drama war nan  
Red-Headed Woman (1932),comedy romance nan  
Daniel (1983),drama nan  
Power (1986),drama nan  
Lost Horizon (1973),adventure drama fantasy musical romance nan  
"Man Who Never Was, The (1956)",drama war nan  
Something Wild (1961),drama nan  
"Painted Veil, The (2006)",drama romance cholera loveless marriage unfaithful wife china  
We Are Marshall (2006),drama united states friendship football university  
"Place Promised in Our Early Days, The (Kumo no mukô, yakusoku no basho) (2004)",animation drama romance sci-fi war friendship futuristic coma young love  
"Plague Dogs, The (1982)",adventure animation drama nan  
"Good Shepherd, The (2006)",drama thriller cia year 1962 year 1960 year 1958  
Dreamgirls (2006),drama musical card game fired jazz new york city  
"Page Turner, The (Tourneuse de pages, La) (2006)",drama musical thriller breasts lesbian subtext fondling breast f rated  
Loose Change: Second Edition (2006),documentary mystery low budget film september 11 conspiracy theory amateur video maker based on supposedly true story  
We Feed the World (2005),documentary wheat water water pollution tomato  
"Decameron, The (Decameron, Il) (1971)",comedy drama nan  
Freedom Writers (2007),drama teacher f rated based on real person woman  
When the Levees Broke: A Requiem in Four Acts (2006),documentary hurricane government hurricane katrina incompetence  
"Intruder, The (L'intrus) (2004)",drama male frontal nudity male rear nudity heart violence  
Katzelmacher (1969),drama romance nan  
Inland Empire (2006),drama mystery thriller stabbing shooting screaming in horror loss of identity  
Sebastiane (1976),drama thriller nan  
Caravaggio (1986),drama nan  
Wild Side (2004),drama male frontal nudity countryside gay dying mother  
"History Boys, The (2006)",comedy drama yorkshire motorcycle masturbation groping  
Notes on a Scandal (2006),drama teacher student relationship pedophile sex with a minor teacher  
Children Shouldn't Play with Dead Things (1973),horror nan  
The Face Behind the Mask (1941),crime drama film-noir romance nan  
"Life of Jesus, The (La vie de Jésus) (1997)",drama male pubic hair female full frontal nudity female full rear nudity male full frontal nudity  
DOA: Dead or Alive (2006),action adventure based on video game bare midriff legs crossed gagged  
Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006),action drama festival deep cleavage prince emperor  
"Bothersome Man, The (Brysomme mannen, Den) (2006)",comedy drama fantasy mystery suicide attempt dystopia bus suicide  
Don't Drink the Water (1994),comedy cold war 1960s ugly american written and directed by cast member  
"Good German, The (2006)",drama mystery thriller nazi prostitute head held underwater sex shop  
Sweet Land (2005),drama romance minnesota 1920s prejudice norwegian  
Letters from Iwo Jima (2006),drama war iwo jima japanese military uniform firearm  
Presenting Lily Mars (1943),comedy musical romance nan  
Black Christmas (2006),action horror thriller hiding in an attic sorority sister mysterious telephone call woman undressing in front of a man  
Happily N'Ever After (2007),animation children comedy pun in title germany cinderella cgi animation  
Home of the Brave (2007),action drama war vietnam war veteran flashback blood splatter voice over narration  
Code Name: The Cleaner (2007),action comedy crime violence comic violence hand to hand combat kung fu  
Stomp the Yard (2007),drama musical death dancer competition fraternity  
Miss Potter (2006),drama illustrator character name as title beatrix potter character adult lives at home  
Arthur and the Invisibles (2007),action children fantasy treasure princess underground world sequel baiting  
Tell Me Something (Telmisseomding) (1999),crime horror mystery thriller psychopath murderess mysterious murderer psychopathic murderer  
Loving Annabelle (2006),drama romance sex with student aunt niece relationship schoolgirl older woman younger woman relationship  
Rolling Family (Familia rodante) (2004),comedy drama grandmother family relationships trailer tradition  
"Young Girls of Rochefort, The (Demoiselles de Rochefort, Les) (1967)",comedy musical romance nan  
David and Bathsheba (1951),drama romance nan  
Old Joy (2006),drama sexual ambiguity oregon title directed by female male frontal nudity  
Legend of the Black Scorpion (a.k.a. The Banquet) (Ye yan) (2006),action drama fantasy war prince empress banquet emperor  
Venus (2006),drama romance sex in bed black panties public nudity cleavage  
My Bollywood Bride (2006),comedy drama romance bollywood india love  
Rosario Tijeras (2005),crime drama romance character name as title prostitute two word title year 1989  
American Madness (1932),drama nan  
The Return of Don Camillo (1953),comedy nan  
The Little World of Don Camillo (1952),comedy nan  
Cold Showers (Douches froides) (2005),drama coming of age male frontal nudity france french  
"Singer, The (Quand j'étais chanteur) (2006)",drama romance reference to elton john implied sex title based on song romantic relationship  
Primeval (2007),horror thriller based on true story burundi monster corpse  
Alpha Dog (2007),crime drama sex scene topless female nudity female frontal nudity drug dealer  
"Hitcher, The (2007)",action horror thriller two word title grindhouse film college student psychopath  
"Dead Girl, The (2006)",drama mystery thriller girl dead girl storage unit police  
"Testament of Orpheus, The (Testament d'Orphée) (1960)",drama nan  
"Stolen Life, A (1946)",drama nan  
After the Wedding (Efter brylluppet) (2006),drama twin brothers real twins playing twins ex boyfriend ex girlfriend relationship wedding  
Time (Shi gan) (2006),drama romance face surgeon photograph jealousy  
Into Great Silence (Die große Stille) (2005),documentary no music elderly man male protagonist monastery  
Dinner for One (Der 90. Geburtstag oder Dinner for One) (1963),comedy sitting at a dining table old lady alcoholic drink drunk  
Red Doors (2005),comedy drama prank f rated wedding planning singer  
"Wendell Baker Story, The (2005)",comedy drama romance nurse prison watching a movie directorial debut  
Crawlspace (1986),horror nan  
Linda Linda Linda (2005),comedy drama short skirt miniskirt pleated skirt reference to the blue hearts  
Juarez (1939),drama romance nan  
Trilogy: The Weeping Meadow (Trilogia: To livadi pou dakryzei) (2004),drama romance refugee river village 1920s  
Daisies (Sedmikrasky) (1966),comedy drama nan  
Bridge to Terabithia (2007),adventure children fantasy tragedy imagination friend race  
Beer League (2006),comedy softball baseball beer slacker  
Dead Meat (2004),horror cow stabbed in the eye blood splatter hit with a shovel  
Killer of Sheep (1977),drama nan  
Dirty Sanchez: The Movie (2006),comedy sin seven deadly sins transgender transvestite  
"Shadow Dancer, The (Shadows in the Sun) (2005)",comedy drama romance writer writer's block love italy  
House (Hausu) (1977),comedy fantasy horror nan  
Kenny (2006),comedy character name as title forename as title australia fire  
49 Up (2005),documentary charity politics england driving a car  
Waitress (2007),comedy drama romance pregnancy waitress unhappy marriage unwanted pregnancy  
"Secret, The (2006)",documentary law of attraction secret philosopher author  
Neverwas (2005),drama fantasy mystery cabin in the woods book secret novelist  
Seven Up! (1964),documentary nan  
7 Plus Seven (1970),documentary nan  
Record of a Tenement Gentleman (Nagaya shinshiroku) (1947),drama nan  
R-Point (Arpointeu) (2004),action drama horror infrared rescue soldier radio transmission  
Catch and Release (2006),comedy drama romance reference to persephone the greek minor deity cartoon on tv f rated reference to traci lords  
Smokin' Aces (2006),action crime drama thriller fbi mafia casino mob hit  
Blood and Chocolate (2007),drama fantasy horror romance werewolf bucharest romania love murder  
Epic Movie (2007),adventure comedy female butt jiggle partial female nudity voyeur lust  
"Messengers, The (2007)",drama horror thriller sunflower murder ghost strong female character  
Because I Said So (2007),comedy drama romance home movie outdoor wedding reception wedding cake woman wearing lingerie  
Hannibal Rising (2007),drama horror thriller aunt revenge faked death medical student  
Norbit (2007),comedy romance character name as title man wears eyeglasses woman hits a man orphan  
Billy the Kid vs. Dracula (1966),action drama horror nan  
Red Angel (Akai tenshi) (1966),drama romance war morphine sino japanese war nurse soldier  
"Boss of It All, The (Direktøren for det hele) (2006)",comedy drama actor director lawyer contract  
Cocaine Cowboys (2006),documentary cocaine violence murder drugs  
Lonely Hearts (2006),crime drama thriller execution serial killer murder of a nude woman nudity  
Ratatouille (2007),animation children drama rat chef ratatouille soup  
Five Fingers (2006),drama thriller kidnapping morocco terrorist bare chested male  
Izo (2004),action drama fantasy horror thriller war samurai city assassin sword  
Lola (1961),drama romance nan  
"Paris, I Love You (Paris, je t'aime) (2006)",romance white pantyhose sex scene camera shot of feet female stockinged feet  
"Astronaut Farmer, The (2007)",drama surname in title rocket bank fbi  
Murk (Mørke) (2005),drama thriller wedding wedding night small town bathtub  
S.P.L.: Kill Zone (Saat po long) (2005),action crime drama thriller martial arts false evidence retirement inspector  
Mafioso (1962),comedy crime drama nan  
It's a Boy Girl Thing (2006),comedy romance high school body swap switching bodies body switching  
Myra Breckinridge (1970),comedy nan  
Vice Squad (1982),action thriller nan  
Danika (2006),drama horror thriller stress character name as title children fear  
Days of Glory (Indigènes) (2006),action adventure drama war year 1944 algerian year 1943 arab  
"Strange Case of Dr. Jekyll and Mr. Hyde, The (1968)",drama horror sci-fi thriller nan  
Fifty-Fifty (a.k.a. Schizo) (Shiza) (2004),crime drama romance thriller money boy widow fighter  
Unknown (2006),drama mystery thriller memory loss warehouse mirror single set production  
Magical Mystery Tour (1967),comedy musical nan  
Ringers: Lord of the Fans (2005),comedy documentary pop culture fandom f rated  
Sisters of the Gion (Gion no shimai) (1936),drama nan  
Trailer Park Boys: The Movie (2006),comedy crime jock strap stoner comedy trailer park cult film  
Ghost Rider (2007),action fantasy thriller lucifer morningstar character comicbook movie motor vehicle weapon  
Breach (2007),drama thriller investigation washington monument washington d.c. fbi clerk  
Tyler Perry's Daddy's Little Girls (2007),comedy romance three word title written by director african american protagonist family relationships  
Music and Lyrics (2007),comedy romance bumping one's head compact disc electronic keyboard potato  
"Number 23, The (2007)",drama mystery thriller detective obsession murder flashback  
Reno 911!: Miami (2007),comedy sex scene rear entry sex scantily clad female pity sex  
Black Snake Moan (2006),drama nymphomaniac sexual abuse anxiety musician  
Gray Matters (2006),comedy drama romance new york city f rated lesbianism reference to oprah winfrey  
Be with Me (2005),drama romance love solitude writer widow  
Shooting Gallery (2005),crime drama thriller violence neo noir poolhall shootout shootout  
What Will You Do When You Catch Me? (Co mi zrobisz jak mnie zlapiesz?) (1978),comedy crime nan  
loudQUIETloud: A Film About the Pixies (2006),documentary nan  
My Father and My Son (Babam ve oglum) (2005),drama village grandfather grandson relationship father son relationship death in childbirth  
Factory Girl (2006),drama public nudity female nudity father daughter incest dysfunctional family  
Salon Kitty (1976),drama nan  
Human Trafficking (2005),crime drama mystery thriller ice slave brutality conspiracy  
Kidulthood (2006),drama hooded sweatshirt hood growing up murder of a child  
Like Mike 2: Streetball (2006),children comedy repeat sequel basketball movie numbered sequel direct to video sequel to theatrical movie  
Lady in Cement (1968),crime drama mystery thriller nan  
Street Trash (1987),comedy horror nan  
Fighting Elegy (Kenka erejii) (1966),action comedy nan  
Salvatore Giuliano (1964),crime drama war nan  
First Man Into Space (1959),drama horror sci-fi nan  
I Drink Your Blood (1970),horror nan  
Hot Fuzz (2007),action comedy crime mystery police officer workaholic village police  
Dead Heat on a Merry-Go-Round (1966),comedy crime nan  
"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978)",action adventure nan  
Mad Love (1935),horror romance nan  
"Trial of Billy Jack, The (1974)",action drama musical nan  
"Savage Innocents, The (1960)",adventure crime drama nan  
"Consequences of Love, The (Conseguenze dell'amore, Le) (2004)",crime drama neo noirish man wears eyeglasses hotel death  
Golden Door (Nuovomondo) (2006),adventure drama romance mental retardation ellis island new york city italy male full frontal nudity  
Kamchatka (2002),drama operation condor year 1976 bed wetting boy  
"Leopard Man, The (1943)",drama horror mystery thriller nan  
Family Law (Derecho de familia) (2006),comedy drama nursery death burial law firm  
Emil i Lönneberga (1971),children drama nan  
Citizen X (1995),crime drama thriller serial killer bureaucracy reference to andrei romanovich chikatilo communism  
"""Great Performances"" Cats (1998)",musical ballet aging kidnapping magician  
"Canterbury Tales, The (I racconti di Canterbury) (1972)",comedy drama nan  
"Forest for the Trees, The (Der Wald vor lauter Bäumen) (2003)",drama teacher loneliness passiveness emotional breakdown  
Next (2007),action sci-fi thriller woman in jeopardy tape over mouth 7 eleven store magician  
Breaking and Entering (2006),drama single mother prostitute breaking and entering burglary  
Changing Times (Les temps qui changent) (2004),drama romance male frontal nudity male rear nudity twin marriage  
God Grew Tired of Us (2006),documentary drama nan  
Iraq in Fragments (2006),documentary war iraq religion territory name in title country name in title  
Amazing Grace (2006),drama romance slave slave trade abolition slave ship  
Romanzo Criminale (2005),crime drama italy 1970s years of lead man wears eyeglasses  
2001 Maniacs (2005),comedy horror male pubic hair splatter comedy spring break barbecue  
Wise Guys (1986),comedy crime nan  
Teen Wolf Too (1987),comedy nan  
"Commare secca, La (Grim Reaper, The) (1962)",drama mystery nan  
Body Count (1998),comedy crime drama thriller slasher cult film neo noir double cross  
Zodiac (2007),crime drama thriller zodiac killer serial killer mysterious murderer zodiac  
Pusher III: I'm the Angel of Death (2005),action comedy drama horror thriller drug deal drug addict drug abuse pusher  
Eight Deadly Shots (Kahdeksan surmanluotia) (1972),drama poverty rural setting unemployment based on true story  
Meshes of the Afternoon (1943),fantasy nan  
Wild Hogs (2007),adventure comedy friend motorcycle road trip biker gang  
Man About Town (2006),comedy drama reporter journal cartoon on tv blonde  
El Lobo (2004),thriller eta terrorism  
Unfaithfully Yours (1984),comedy romance nan  
"Lathe of Heaven, The (1980)",sci-fi nan  
"Westerner, The (1940)",western nan  
"Ultimate Gift, The (2006)",drama inheritance challenge three word title letter reading a letter  
300 (2007),action fantasy war imax spartan battle warrior greece  
"Abandoned, The (2006)",horror mystery thriller house inheritance father daughter relationship woods  
Julius Caesar (1953),drama nan  
Three Smart Girls (1936),comedy musical romance nan  
Something in the Wind (1947),comedy musical nan  
Starter for 10 (2006),drama romance university mini skirt voyeurism voyeur  
"Last Mimzy, The (2007)",adventure children sci-fi soundwave strong female female protagonist watching television  
Priceless (Hors de prix) (2006),comedy romance money birthday gold digger bartender  
"Host, The (Gwoemul) (2006)",comedy drama horror sci-fi thriller monster abduction environment revenge  
"America, America (1963)",drama nan  
Kippur (2000),drama war rescue yom kippur war syria soldier  
"Situation, The (2006)",drama american journalist female journalist cia operative iraqi  
Diary of a Hitman (1991),crime drama thriller black boots woman wearing black lingerie white bra bra  
Flower Drum Song (1961),comedy musical romance nan  
Becoming Jane (2007),drama romance female protagonist cricket the sport deaf mute hunt  
Right at Your Door (2006),drama thriller hermetically closed house bomb dirty bomb police  
"Taste of Honey, A (1961)",drama nan  
"Namesake, The (2006)",drama romance india train bengali new york city  
Omagh (2004),drama nan  
Samurai Spy (Ibun Sarutobi Sasuke) (1965),action drama nan  
"Last Command, The (1928)",drama war nan  
I Think I Love My Wife (2007),comedy drama romance hot sex marriage investment  
"Second Chance, The (2006)",drama pastor lead actor's first film christian  
"Fugitive Kind, The (1959)",crime drama romance nan  
Wilderness (2006),horror thriller island survival bully juvenile detention  
Hipnos (2004),horror thriller downward spiral sex scene blood bath  
Premonition (2007),drama fantasy mystery thriller housewife car car accident sheriff  
Dead Silence (2007),horror mystery thriller young couple nursery rhyme creepy doll vengeful ghost  
Reign Over Me (2007),drama grief mental breakdown depression post september 11 2001  
Pride (2007),drama cheyney university bala cynwyd pennsylvania main line academy unemployment office  
Shooter (2007),action drama thriller on the run government agent sniper sniper rifle  
"Hills Have Eyes II, The (2007)",horror thriller desert napolon bonaparte character murder of a nude woman nude pregnant woman  
TMNT (Teenage Mutant Ninja Turtles) (2007),action adventure animation children comedy fantasy splinter character april o'neil character mirage comics warner bros.  
"Italian, The (Italianetz) (2005)",drama children russian orphanage escape  
Jindabyne (2006),crime drama mystery thriller bare breasts scene of the crime lying on a bed man wears eyeglasses  
"Spider's Stratagem, The (Strategia del ragno) (1970)",drama mystery nan  
Nomad (Köshpendiler) (2005),drama war steppe invading army battle horse  
"Tall Target, The (1951)",adventure crime drama thriller nan  
Avenue Montaigne (Fauteuils d'orchestre) (2006),comedy drama romance pianist manager concert bar  
Black Book (Zwartboek) (2006),drama thriller war gestapo seduction dutch resistance hiding in a coffin  
Love and Honor (2006),drama romance samurai being followed warrior jidai geki  
Dreamland (2006),drama new mexico desert new mexico desert trailer park  
"Quiet Duel, The (Shizukanaru ketto) (1949)",drama nan  
"Moment of Innocence, A (Nun va Goldoon) (1996)",drama policeman bread gun flower  
"Silence, The (Sokout) (1998)",drama music shop instrument tuner elderly man eyesight  
It's Impossible to Learn to Plow by Reading Books (1988),drama nan  
R.S.V.P. (2002) ,comedy crime horror dark humor murder abbreviation in title period in title  
"Five Pennies, The (1959)",drama nan  
Philanthropy (Filantropica) (2002),comedy teacher money loser bucharest romania  
Ladies in Retirement (1941),drama nan  
"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire)) (2002)",crime drama jewel thief television journalist bank robbery robbery  
Eklavya: The Royal Guard (2007),action drama thriller kingdom king fort prince  
Dark Horse (Voksne mennesker) (2005),comedy drama romance denmark unplanned pregnancy soccer referee  
His Kind of Woman (1951),comedy crime drama film-noir thriller nan  
"Darwin Awards, The (2006)",adventure comedy romance blowjob fellatio oral sex voice over narration  
"Tarnished Angels, The (1958)",drama nan  
"Lookout, The (2007)",crime drama thriller amnesia sex female nudity casual sex  
Blades of Glory (2007),comedy romance montreal canada homoeroticism gay interest lgbt  
"Armwrestler From Solitude, The (Armbryterskan från Ensamheten) (2004)",documentary f rated female athlete athlete arm wrestling contest  
Kissed by Winter (Vinterkyss) (2005),drama mystery thriller title edited by female female nudity topless female nudity f rated  
Are We Done Yet? (2007),comedy moving in renovation los angeles lakers reference to magic johnson  
Grindhouse (2007),action crime horror sci-fi thriller double feature original story zombie real twins playing twins  
"Reaping, The (2007)",horror thriller belly button woman wearing a gas mask footprint biblical plague  
Firehouse Dog (2007),action comedy firehouse absent mother arsonist wristwatch  
Meet the Robinsons (2007),action adventure animation children comedy sci-fi crazy uncle flying car jazz music ends with a quote  
American Hardcore (2006),documentary interview punk rock hollywood new york city  
Inglorious Bastards (Quel maledetto treno blindato) (1978),action adventure drama war nan  
Seraphim Falls (2006),action adventure drama war western man with no name final showdown gore train  
Double Harness (1933),comedy drama nan  
Sunshine (2007),adventure drama sci-fi thriller spacecraft sun spaceship mission  
Judge Priest (1934),comedy drama romance nan  
Copying Beethoven (2006),drama musical music student music copyist musical composition period drama  
Palais royal ! (2005),comedy f rated  
"Hoax, The (2007)",crime drama howard hughes rooftop f word mcgraw hill publishing company  
No Way Out (1950),drama film-noir nan  
Ulysses' Gaze (To Vlemma tou Odyssea) (1995),drama war male nudity male frontal nudity balkans symbolism  
Sky Fighters (Les Chevaliers Du Ciel) (2005),action adventure plane france pilot betrayal  
Scent of a Woman (Profumo di donna) (1974),comedy drama nan  
"Welcome Back, Mr. McDonald (Rajio no jikan) (1997)",comedy neo screwball comedy radio actress chaos  
How the Grinch Stole Christmas! (1966),animation comedy fantasy musical nan  
